show;season;episode;nielsen_rating;viewers
Arrow;4;1;1,09;2,67
Arrow;4;2;0,95;2,501
Arrow;4;3;0,89;2,402
Arrow;4;4;0,94;2,643
Arrow;4;5;1,06;2,601
Arrow;4;6;0,92;2,298
Arrow;4;7;1,10;2,691
Arrow;4;8;1,38;3,664
Arrow;4;9;1,01;2,82
Arrow;4;10;1,09;2,829
Arrow;4;11;1,07;2,778
Arrow;4;12;0,92;2,475
Arrow;4;13;0,92;2,445
Arrow;4;14;0,91;2,444
Arrow;4;15;1,02;2,696
Arrow;4;16;0,72;2,089
Arrow;4;17;0,86;2,339
Arrow;4;18;0,79;2,239
Arrow;4;19;0,88;2,27
Arrow;4;20;0,75;2,071
Arrow;4;21;0,77;2,156
Arrow;4;22;0,72;1,944
Arrow;4;23;0,82;2,193
Arrow;3;1;1;2,83
Arrow;3;2;0,85;2,321
Arrow;3;3;0,93;2,55
Arrow;3;4;0,95;2,494
Arrow;3;5;1,06;2,725
Arrow;3;6;0,91;2,597
Arrow;3;7;0,88;2,643
Arrow;3;8;1,41;3,924
Arrow;3;9;1,06;3,057
Arrow;3;10;1,14;3,064
Arrow;3;11;1,08;2,914
Arrow;3;12;1,2;2,943
Arrow;3;13;1,08;2,671
Arrow;3;14;1,17;2,912
Arrow;3;15;1,10;3,071
Arrow;3;16;0,86;2,556
Arrow;3;17;1,05;2,857
Arrow;3;18;0,82;2,48
Arrow;3;19;0,91;2,467
Arrow;3;20;0,95;2,717
Arrow;3;21;0,9;2,386
Arrow;3;22;1;2,54
Arrow;3;23;1;2,831
Arrow;2;1;0,9;2,74
Arrow;2;2;1,10;3,06
Arrow;2;3;0,9;2,89
Arrow;2;4;0,75;2,367
Arrow;2;5;1,01;2,804
Arrow;2;6;1,18;3,092
Arrow;2;7;1,01;2,657
Arrow;2;8;1,18;3,24
Arrow;2;9;1,06;3,023
Arrow;2;10;0,94;2,516
Arrow;2;11;0,86;2,494
Arrow;2;12;1,10;2,953
Arrow;2;13;1,01;2,862
Arrow;2;14;0,85;2,449
Arrow;2;15;0,74;2,211
Arrow;2;16;0,82;2,418
Arrow;2;17;0,9;2,624
Arrow;2;18;0,79;2,325
Arrow;2;19;0,71;2,26
Arrow;2;20;0,69;2,192
Arrow;2;21;0,8;2,313
Arrow;2;22;0,78;2,331
Arrow;2;23;0,86;2,366
Arrow;1;1;1,3;4,14
Arrow;1;2;1,3;3,55
Arrow;1;3;1,1;3,51
Arrow;1;4;1;3,05
Arrow;1;5;1,3;3,75
Arrow;1;6;1,2;3,83
Arrow;1;7;1,3;3,74
Arrow;1;8;1,1;3,35
Arrow;1;9;1;3,11
Arrow;1;10;1,1;3,06
Arrow;1;11;1,1;3,14
Arrow;1;12;0,9;2,97
Arrow;1;13;1;2,96
Arrow;1;14;1,1;3,29
Arrow;1;15;0,9;3,15
Arrow;1;16;1;3,17
Arrow;1;17;1;3,02
Arrow;1;18;0,9;2,65
Arrow;1;19;0,9;2,92
Arrow;1;20;1;3,1
Arrow;1;21;0,9;2,89
Arrow;1;22;0,9;2,62
Arrow;1;23;0,9;2,72
